Ticks,Angle Right 1,Angle Right 2,Ange Right 3,Angle Ave,Angle Left 1,Angle Left 2,Angle Left 3,Angle Left Ave
0,0,0,0,0,0,0,0,0
50,18.5,20,19,19.16666667,16,16,15,15.66666667
100,29,31,30.5,30.16666667,29,27,27,27.66666667
150,41,41.2,40.7,40.96666667,39,39.5,40,39.5
200,52.5,55,53,53.5,50.5,51,50.5,50.66666667
300,78,77,78,77.66666667,72.5,71,72,71.83333333
350,88,86,87,87,81.5,81,82,81.5
400,97,100,99,98.66666667,96,96.5,96.5,96.33333333
500,123,122,121.5,122.1666667,120,117,120,119
,,,,,,,,
,Distance (blocks),Ticks,,,,,,
,1,295,,,,,,
,2,600,,,,,,
,3,910,,,,,,
,4,1217,,,,,,
,5,1524,,,,,,
,6,1840,,,,,,
